Apr 05, 2016	2.543	2.598	2.616	2.537	-2.05%
Apr 04, 2016	2.596	2.596	2.622	2.584	0.01%
Apr 03, 2016	2.596	2.601	2.601	2.594	-0.20%
Apr 01, 2016	2.601	2.623	2.64	2.584	-0.42%
Mar 31, 2016	2.612	2.645	2.66	2.608	-1.66%
Mar 30, 2016	2.656	2.604	2.685	2.601	2.15%
Mar 29, 2016	2.6	2.654	2.668	2.597	-1.92%
Mar 28, 2016	2.651	2.679	2.686	2.635	-1.06%
Mar 27, 2016	2.679	2.674	2.679	2.674	0.27%
Mar 24, 2016	2.672	2.661	2.675	2.613	0.56%
Mar 23, 2016	2.657	2.729	2.735	2.647	-2.42%
Mar 22, 2016	2.723	2.721	2.73	2.681	-0.26%
Mar 21, 2016	2.73	2.73	2.73	2.73	1.87%
Mar 20, 2016	2.68	2.68	2.68	2.68	0.22%
Mar 18, 2016	2.674	2.674	2.674	2.674	-0.78%
Mar 17, 2016	2.695	2.695	2.695	2.695	-1.50%
Mar 16, 2016	2.736	2.736	2.736	2.736	0.55%
Mar 15, 2016	2.721	2.721	2.721	2.721	-0.40%
Mar 14, 2016	2.732	2.732	2.732	2.732	-0.63%
Mar 13, 2016	2.749	2.744	2.749	2.744	0.08%
Mar 11, 2016	2.747	2.747	2.747	2.747	1.74%
Mar 10, 2016	2.7	2.7	2.7	2.7	0.63%
Mar 09, 2016	2.683	2.683	2.683	2.683	1.67%
Mar 08, 2016	2.639	2.639	2.639	2.639	-2.37%
Mar 07, 2016	2.703	2.703	2.703	2.703	0.19%
Mar 06, 2016	2.698	2.702	2.702	2.697	-0.19%
Mar 04, 2016	2.703	2.703	2.703	2.703	1.62%
Mar 03, 2016	2.66	2.66	2.66	2.66	-1.19%
Mar 02, 2016	2.692	2.692	2.692	2.692	-0.48%
Mar 01, 2016	2.705	2.705	2.705	2.705	3.40%
Feb 29, 2016	2.616	2.616	2.616	2.616	-0.54%
Feb 28, 2016	2.63	2.631	2.632	2.629	-0.22%
Feb 26, 2016	2.636	2.636	2.636	2.636	2.41%
Feb 25, 2016	2.574	2.574	2.574	2.574	-0.96%
Feb 24, 2016	2.599	2.599	2.599	2.599	0.12%
Feb 23, 2016	2.596	2.596	2.596	2.596	-0.88%
Feb 22, 2016	2.619	2.619	2.619	2.619	0.31%
Feb 21, 2016	2.611	2.606	2.617	2.606	0.26%
